cliente_id,idade,genero,regiao,perfil_risco,renda_mensal,produto_id,nome_produto,tipo_produto,taxa_administracao,risco_produto,data_investimento,valor_investido,rentabilidade_percentual,status_investimento,valor_final
1,56,Outro,Norte,Agressivo,8649.74,198,Ação Beta,FII,1.35,Médio,2023-06-12,8089.32,3.57,Ativo,8378.11
2,69,Masculino,Norte,Moderado,5391.92,113,FII Alpha,Renda Fixa,1.7,Alto,2024-01-03,32800.58,-17.98,Ativo,26903.04
3,46,Outro,Norte,moderado,7135.67,120,Renda Fixa Gama,FII,0.5,Alto,2025-07-10,707.62,29.14,Ativo,913.82
4,32,Feminino,Norte,Agressivo,5408.13,157,FII Alpha,Cripto,1.54,Médio,2023-11-26,22740.76,-22.67,Resgatado,17585.43
5,60,Masculino,Centro-Oeste,Moderado,11295.11,137,Cripto Delta,FII,2.18,Médio,2023-02-03,46492.68,-11.78,Ativo,41015.84
6,25,M,Sudeste,Moderado,4664.53,100,Renda Fixa Gama,FII,1.85,Baixo,2024-11-12,44916.47,30.95,Ativo,58818.12
7,38,F,Norte,Moderado,4241.61,183,FII Alpha,Renda Fixa,1.69,Baixo,2022-09-04,40286.6,71.69,Resgatado,69168.06
8,56,F,Centro-Oeste,Moderado,4795.7,104,Renda Fixa Gama,Renda Fixa,1.99,Médio,2023/99/99,7487.38,-8.49,Ativo,6851.7
9,36,Outro,Centro-Oeste,Conservador,7060.02,143,FII Alpha,FII,0.35,Médio,2023-09-20,26252.87,9.87,Ativo,28844.03
10,40,Masculino,Centro-Oeste,Conservador,9586.74,195,FII Alpha,Renda Fixa,0.59,Alto,2022-03-10,36097.39,18.71,Ativo,64276.815
11,28,M,Nordeste,Moderado,7065.42,164,Cripto Delta,FII,0.19,Alto,2023-07-18,5508.09,74.88,Ativo,9632.55
12,28,Masculino,Nordeste,moderado,7766.44,156,Ação Beta,Cripto,0.45,Alto,2023-02-01,7776.7,50.92,Ativo,11736.6
13,41,F,Centro-Oeste,Conservador,7418.95,144,Renda Fixa Gama,Cripto,2.29,Médio,2023-08-31,2483.25,6.54,Resgatado,2645.65
14,70,Masculino,Norte,Moderado,1837.46,159,Cripto Delta,Ações,0.63,Baixo,2022-10-12,16492.14,-0.15,Ativo,16467.4
15,53,M,Sudeste,Moderado,5959.65,165,Renda Fixa Gama,Renda Fixa,1.69,Alto,2022-05-26,43927.46,27.04,Ativo,55805.45
16,57,Outro,Sul,moderado,5207.27,194,Ação Beta,FII,1.76,Médio,2023-01-21,25620.05,11.95,Ativo,28681.65
17,41,Feminino,Nordeste,moderado,5646.92,146,Cripto Delta,Cripto,1.65,Médio,2025-07-30,42736.9,37.85,Resgatado,58912.82
18,20,Masculino,Norte,moderado,3942.87,125,Ação Beta,Ações,1.43,Baixo,2022-10-25,4640.68,28.82,Resgatado,5978.12
19,39,Feminino,Norte,Agressivo,8170.77,108,Cripto Delta,Ações,1.27,Alto,2025-05-30,3277.09,-26.29,Ativo,2415.54
20,70,F,Sul,Moderado,6121.18,150,Cripto Delta,FII,1.11,Alto,2025-03-07,40293.1,-21.81,Ativo,31505.17
21,19,Outro,Sul,moderado,6106.08,193,Cripto Delta,Ações,2.3,Médio,2023-05-30,25138.63,-15.25,Ativo,21304.99
22,41,Outro,Norte,Moderado,5631.92,107,Cripto Delta,Ações,0.12,Alto,2025-09-27,23810.99,41.58,Ativo,33711.6
23,61,Masculino,Sul,Conservador,4426.75,104,FII Alpha,FII,0.23,Baixo,2024-11-27,24044.64,77.5,Resgatado,42679.24
24,47,Outro,Norte,Moderado,1544.9,138,Renda Fixa Gama,Ações,1.28,Alto,2024-12-29,19363.03,19.79,Resgatado,23194.97
25,55,Masculino,Sul,Moderado,6679.21,167,FII Alpha,Ações,0.89,Baixo,2023-08-04,44377.05,-13.57,Resgatado,38355.08
26,19,Masculino,Sul,Agressivo,6283.96,139,FII Alpha,FII,1.08,Médio,2023-11-01,26289.36,37.1,Ativo,36042.71
27,38,Feminino,Norte,Conservador,7335.6,135,FII Alpha,FII,2.49,Baixo,2024-02-21,48707.42,38.8,Ativo,67605.9
28,50,Outro,Centro-Oeste,Conservador,6180.78,120,Cripto Delta,Cripto,1.96,Baixo,2022-01-02,42403.03,53.13,Ativo,64931.76
29,29,Masculino,Norte,Agressivo,3301.78,196,Cripto Delta,Ações,2.21,Baixo,2025-03-05,37009.77,48.08,Resgatado,54804.07
